# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 13K of event 'cycles:ppp'
# Event count (approx.): 3859094570
#
# Overhead  Command          Shared Object      Symbol                                                                                         
# ........  ...............  .................  ..........................................................................................................................................
#
     0.01%  deepbeliefGccPr  libjpcnn.so        [.] matrix_insert_margin                                                                                                                  
     0.01%  deepbeliefGccPr  libc-2.19.so       [.] memcpy                                                                                                                                
     0.01%  deepbeliefGccPr  libc-2.19.so       [.] __unregister_atfork                                                                                                                   
     0.01%  deepbeliefGccPr  ld-2.19.so         [.] __udivsi3                                                                                                                             
     0.01%  deepbeliefGccPr  libjpcnn.so        [.] get_tag_from_memory                                                                                                                   
     0.01%  deepbeliefGccPr  ld-2.19.so         [.] _dl_fixup                                                                                                                             
     0.01%  deepbeliefGccPr  [kernel.kallsyms]  [k] vma_adjust                                                                                                                            
     0.01%  deepbeliefGccPr  [kernel.kallsyms]  [k] __fput                                                                                                                                
     0.01%  deepbeliefGccPr  [kernel.kallsyms]  [k] strlen                                                                                                                                
     0.01%  deepbeliefGccPr  [kernel.kallsyms]  [k] _raw_spin_lock_irqsave                                                                                                                
     0.01%  deepbeliefGccPr  [kernel.kallsyms]  [k] lru_add_drain                                                                                                                         
     0.01%  deepbeliefGccPr  [kernel.kallsyms]  [k] vma_merge                                                                                                                             
     0.01%  deepbeliefGccPr  [kernel.kallsyms]  [k] perf_event_mmap_output                                                                                                                
     0.01%  deepbeliefGccPr  [kernel.kallsyms]  [k] perf_event_mmap                                                                                                                       
     0.01%  deepbeliefGccPr  libjpcnn.so        [.] GConvNode::GConvNode                                                                                                                  
     0.00%  perf_4.4         [kernel.kallsyms]  [k] perf_event_exec                                                                                                                       


#
# (For a higher level overview, try: perf report --sort comm,dso)
#
