# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 300  of event 'cycles:ppp'
# Event count (approx.): 3816667444
#
# Children      Self  Command          Shared Object      Symbol                                                                                         
# ........  ........  ...............  .................  ..........................................................................................................................................
#
     0.32%     0.00%  deepbeliefGccPr  [unknown]          [.] 0xc1b3226c                                                                                                                            
     0.32%     0.00%  deepbeliefGccPr  [unknown]          [.] 0x40daedf2                                                                                                                            
     0.31%     0.00%  deepbeliefGccPr  [unknown]          [.] 0x4035d651                                                                                                                            
     0.31%     0.00%  deepbeliefGccPr  perf-7955.map      [.] 0x7eebb1d0                                                                                                                            
     0.31%     0.00%  deepbeliefGccPr  [unknown]          [k] 0x3d14d705                                                                                                                            
     0.31%     0.31%  deepbeliefGccPr  [kernel.kallsyms]  [k] memblock_is_memory                                                                                                                    
     0.31%     0.00%  deepbeliefGccPr  [kernel.kallsyms]  [k] pfn_valid                                                                                                                             
     0.02%     0.00%  deepbeliefGccPr  [kernel.kallsyms]  [k] __copy_to_user_memcpy                                                                                                                 
     0.02%     0.00%  deepbeliefGccPr  [kernel.kallsyms]  [k] arm_copy_to_user                                                                                                                      
     0.02%     0.02%  deepbeliefGccPr  [kernel.kallsyms]  [k] __blocking_notifier_call_chain                                                                                                        
     0.02%     0.00%  deepbeliefGccPr  [kernel.kallsyms]  [k] profile_munmap                                                                                                                        
     0.02%     0.00%  deepbeliefGccPr  [kernel.kallsyms]  [k] sys_munmap                                                                                                                            
     0.02%     0.00%  deepbeliefGccPr  ld-2.19.so         [.] munmap                                                                                                                                
     0.02%     0.00%  deepbeliefGccPr  ld-2.19.so         [.] 0xffffffff89073f38                                                                                                                    
     0.01%     0.01%  deepbeliefGccPr  [kernel.kallsyms]  [k] pin_page_for_write                                                                                                                    
     0.01%     0.01%  deepbeliefGccPr  [kernel.kallsyms]  [k] mmiocpy                                                                                                                               
     0.00%     0.00%  deepbeliefGccPr  [kernel.kallsyms]  [k] finish_task_switch                                                                                                                    
     0.00%     0.00%  deepbeliefGccPr  [kernel.kallsyms]  [k] __lock_page_killable                                                                                                                  
     0.00%     0.00%  deepbeliefGccPr  [kernel.kallsyms]  [k] __schedule                                                                                                                            
